InvoiceID,OrderID,CustomerID,InvoiceDate,InvoiceDueDate,InvoiceAmount,TaxAmount,TotalInvoiceAmount,InvoiceStatus,BillingAddress,GSTNumber,InvoiceType
INV-2024-031,SO-2024-031,C004,2024-04-22,2024-06-21,185000,33300,218300,Paid,Delhi,06AAACH1068C1ZB,Standard
INV-2024-032,SO-2024-032,C007,2024-04-30,2024-05-30,362500,65250,427750,Paid,Pune,27AAACB0480E1ZM,Standard
INV-2024-033,SO-2024-033,C009,2024-04-29,2024-05-29,95000,17100,112100,Paid,Mumbai,27AABCA4430B1ZF,Standard
INV-2024-034,SO-2024-034,C013,2024-04-30,2024-05-30,85000,15300,100300,Paid,Kolkata,19AAACI1560A1ZD,Standard
INV-2024-035,SO-2024-035,C016,2024-05-08,2024-06-07,250000,45000,295000,Paid,Delhi,07AAACN2123B1ZW,Standard
INV-2024-036,SO-2024-036,C005,2024-05-05,2024-06-04,225000,40500,265500,Paid,Pune,27AAACT5432R1ZP,Standard
INV-2024-037,SO-2024-037,C010,2024-05-10,2024-06-09,160000,28800,188800,Paid,Mumbai,27AAACG1895G1ZA,Standard
INV-2024-038,SO-2024-038,C014,2024-05-15,2024-06-14,110000,19800,129800,Paid,Delhi,07AAACD1645E1ZS,Standard
INV-2024-039,SO-2024-039,C019,2024-05-16,2024-06-15,95000,17100,112100,Paid,Bangalore,29AAACT3120L1ZD,Standard
INV-2024-040,SO-2024-040,C018,2024-05-17,2024-06-16,220000,39600,259600,Paid,Delhi,07AAACH1726E1Z1,Standard
